               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096998,              0.0285,            0.085883,           0.0061667,             0.92236,            0.039869,            0.018634,            0.048861,            0.011348,            0.070031,              0.0757,              0.0027,              0.0027
                   1,            0.061414,            0.024261,             0.08566,           0.0076738,             0.91566,            0.061749,            0.035869,            0.040991,           0.0059894,            0.066802,            0.050482,           0.0054818,           0.0054818
                   2,            0.056673,            0.021256,            0.081298,           0.0099795,             0.77815,            0.048939,             0.01977,            0.051557,            0.010752,            0.064701,            0.025245,           0.0082452,           0.0082452
                   3,            0.053759,            0.020951,            0.082086,           0.0040441,             0.88182,            0.031926,            0.013371,            0.053807,           0.0076461,            0.066192,            0.009901,            0.009901,            0.009901
                   4,            0.053628,            0.020591,            0.078177,           0.0030959,             0.76054,            0.024702,             0.01118,            0.052753,            0.011689,            0.061183,            0.009901,            0.009901,            0.009901
                   5,            0.054406,            0.021101,             0.08083,           0.0023114,             0.60069,            0.035002,            0.016104,            0.053003,           0.0098404,            0.064078,            0.009868,            0.009868,            0.009868
                   6,            0.048537,            0.020737,            0.077001,           0.0026851,             0.64447,            0.036459,             0.01682,            0.050864,            0.011298,            0.061247,            0.009835,            0.009835,            0.009835
                   7,            0.045866,            0.020449,            0.077321,           0.0090341,             0.81357,            0.061012,             0.03404,            0.045348,           0.0061167,            0.059266,            0.009802,            0.009802,            0.009802
                   8,            0.047673,            0.020421,            0.081267,           0.0052979,             0.95636,            0.053896,            0.027802,            0.039747,           0.0068473,            0.062943,            0.009769,            0.009769,            0.009769
                   9,            0.051364,            0.020209,            0.082534,           0.0065551,             0.90432,            0.058615,            0.028736,            0.044468,           0.0062758,            0.064623,            0.009736,            0.009736,            0.009736
                  10,            0.045124,            0.019127,            0.080643,           0.0087433,              0.8538,            0.060565,             0.03645,            0.042607,            0.006595,             0.06127,            0.009703,            0.009703,            0.009703
                  11,             0.04465,            0.018972,            0.077928,            0.013845,             0.77652,            0.064594,            0.035203,            0.049901,           0.0062879,            0.057159,             0.00967,             0.00967,             0.00967
                  12,            0.049344,            0.020121,            0.077959,            0.010588,             0.92324,            0.077134,            0.048832,             0.04043,           0.0052769,            0.063786,            0.009637,            0.009637,            0.009637
