               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069502,            0.045442,            0.008331,             0.66772,             0.50458,             0.56199,             0.27724,            0.053507,            0.031041,             0.00392,            0.070052,           0.0033276,           0.0033276
                   1,            0.056721,            0.043809,           0.0050126,             0.72303,             0.52441,              0.5994,             0.32724,            0.049169,            0.031921,           0.0046134,             0.04003,           0.0066389,           0.0066389
                   2,            0.053634,            0.045953,           0.0051118,             0.68879,             0.45944,             0.52413,             0.26956,            0.052387,            0.034966,           0.0051126,           0.0099857,           0.0099283,           0.0099283
                   3,            0.053024,             0.04739,           0.0054747,             0.64347,             0.45166,             0.50846,              0.2619,            0.052162,            0.035601,           0.0050023,            0.009901,            0.009901,            0.009901
                   4,            0.051928,            0.047291,           0.0052804,             0.68045,             0.48485,             0.55113,             0.29228,            0.049992,            0.034044,            0.004148,            0.009901,            0.009901,            0.009901
                   5,            0.050971,            0.047005,           0.0050147,             0.68626,             0.50002,             0.56654,             0.30765,            0.048774,            0.033443,           0.0038739,            0.009868,            0.009868,            0.009868
                   6,            0.050423,            0.046584,           0.0048795,              0.7062,              0.5127,             0.58832,             0.32062,            0.048582,            0.032819,           0.0037952,            0.009835,            0.009835,            0.009835
                   7,            0.050097,            0.046324,           0.0047665,             0.73152,             0.50956,             0.59201,             0.32804,            0.048026,            0.032792,           0.0035431,            0.009802,            0.009802,            0.009802
                   8,            0.049907,            0.046431,           0.0047722,             0.73474,             0.51924,             0.60095,             0.33409,            0.047285,            0.032298,           0.0033806,            0.009769,            0.009769,            0.009769
                   9,            0.049765,            0.046569,           0.0047335,             0.72217,             0.53442,             0.61072,              0.3438,             0.04687,            0.032016,           0.0033176,            0.009736,            0.009736,            0.009736
                  10,            0.049463,            0.045977,           0.0046263,             0.73412,             0.53375,             0.61712,             0.34926,            0.046415,            0.031785,           0.0030976,            0.009703,            0.009703,            0.009703
                  11,             0.04945,            0.045997,           0.0046063,             0.73824,             0.54187,             0.62545,             0.35541,            0.045991,            0.031726,            0.002988,             0.00967,             0.00967,             0.00967
                  12,            0.049375,            0.046234,           0.0046219,             0.73671,             0.54541,             0.62869,             0.35972,            0.045772,            0.031496,           0.0029785,            0.009637,            0.009637,            0.009637
                  13,            0.049239,             0.04633,           0.0045736,             0.75634,             0.54389,             0.63247,             0.36465,            0.045433,            0.031307,           0.0028844,            0.009604,            0.009604,            0.009604
                  14,            0.049095,            0.046084,           0.0045353,              0.7456,             0.55584,             0.63805,             0.36948,            0.045181,            0.031208,           0.0028433,            0.009571,            0.009571,            0.009571
                  15,            0.049055,            0.045988,           0.0045475,             0.74011,             0.55899,             0.64289,             0.37179,            0.044993,            0.031078,           0.0028001,            0.009538,            0.009538,            0.009538
                  16,            0.048982,            0.046018,           0.0045513,             0.75212,             0.56099,             0.64631,              0.3767,            0.044826,            0.030925,           0.0027911,            0.009505,            0.009505,            0.009505
                  17,            0.048852,            0.045929,           0.0045082,              0.7484,               0.563,             0.64589,             0.37775,            0.044714,             0.03089,            0.002739,            0.009472,            0.009472,            0.009472
                  18,            0.048872,            0.045835,           0.0044725,             0.75285,             0.56371,             0.64801,             0.37741,             0.04462,            0.030867,           0.0027143,            0.009439,            0.009439,            0.009439
