               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063547,            0.043358,           0.0076147,             0.73716,             0.57644,             0.65183,             0.35302,            0.048157,            0.028535,           0.0031407,            0.070052,           0.0033276,           0.0033276
                   1,            0.050841,            0.039844,           0.0036652,             0.76164,             0.60354,             0.68924,             0.40991,             0.04293,            0.029494,           0.0028613,             0.04003,           0.0066389,           0.0066389
                   2,            0.047912,            0.042036,           0.0037763,              0.7324,             0.56204,             0.64008,             0.36301,            0.045557,            0.032014,           0.0032084,           0.0099857,           0.0099283,           0.0099283
                   3,            0.047975,            0.044233,           0.0042508,             0.70255,              0.5442,             0.61214,             0.34295,            0.046228,            0.032421,           0.0032482,            0.009901,            0.009901,            0.009901
                   4,            0.047209,             0.04425,           0.0041195,             0.72286,             0.55072,             0.62937,             0.36056,            0.045142,            0.031668,            0.003078,            0.009901,            0.009901,            0.009901
                   5,            0.046319,            0.044002,           0.0039077,             0.74177,             0.57124,             0.65069,             0.38051,            0.043779,            0.031505,           0.0028362,            0.009868,            0.009868,            0.009868
                   6,            0.045761,            0.043573,           0.0038058,             0.75749,             0.57882,             0.66409,             0.39124,            0.043328,            0.030492,           0.0028186,            0.009835,            0.009835,            0.009835
                   7,            0.045315,             0.04327,           0.0037052,             0.77316,             0.58381,             0.67267,             0.40358,            0.042622,            0.030273,           0.0025776,            0.009802,            0.009802,            0.009802
                   8,            0.045096,            0.043311,           0.0036628,             0.77382,             0.58806,             0.67951,             0.41022,            0.042029,            0.030087,           0.0024968,            0.009769,            0.009769,            0.009769
                   9,            0.044903,            0.043381,           0.0036318,             0.77694,             0.59158,             0.68071,             0.41535,            0.041698,            0.029873,           0.0025352,            0.009736,            0.009736,            0.009736
                  10,            0.044613,            0.042798,           0.0035377,             0.77027,             0.59553,             0.68741,             0.41863,            0.041441,            0.029593,           0.0023614,            0.009703,            0.009703,            0.009703
                  11,            0.044552,             0.04281,           0.0035156,             0.77931,             0.60136,              0.6926,             0.42501,            0.040989,            0.029629,           0.0023246,             0.00967,             0.00967,             0.00967
                  12,            0.044456,            0.042998,           0.0035079,             0.78212,             0.60367,             0.69756,             0.43164,            0.040658,            0.029272,           0.0022624,            0.009637,            0.009637,            0.009637
                  13,            0.044319,            0.043047,             0.00348,             0.77425,             0.61623,             0.70128,             0.43568,             0.04046,            0.029174,           0.0021399,            0.009604,            0.009604,            0.009604
                  14,             0.04417,            0.042818,           0.0034671,              0.7791,             0.61393,             0.70434,             0.43902,            0.040243,            0.028968,           0.0021682,            0.009571,            0.009571,            0.009571
                  15,            0.044166,             0.04272,           0.0034707,             0.78003,             0.61561,             0.70884,             0.44189,            0.040023,            0.028872,           0.0021275,            0.009538,            0.009538,            0.009538
                  16,            0.044105,            0.042715,           0.0034394,             0.78752,             0.61816,             0.71082,             0.44799,             0.03977,            0.028811,           0.0020897,            0.009505,            0.009505,            0.009505
                  17,            0.043971,            0.042645,           0.0034276,             0.78263,             0.62198,             0.71393,             0.44805,            0.039727,            0.028671,           0.0020774,            0.009472,            0.009472,            0.009472
                  18,            0.043997,            0.042566,           0.0033759,             0.78835,             0.62152,             0.71583,             0.45132,            0.039558,            0.028628,           0.0020353,            0.009439,            0.009439,            0.009439
                  19,            0.043979,            0.042658,           0.0033819,             0.79844,             0.61812,             0.71836,             0.45342,            0.039399,            0.028584,           0.0020574,            0.009406,            0.009406,            0.009406
                  20,            0.043748,            0.042598,           0.0033795,             0.79801,             0.61966,             0.71815,             0.45368,            0.039339,             0.02856,           0.0020319,            0.009373,            0.009373,            0.009373
                  21,            0.043783,            0.042585,           0.0033471,             0.79574,             0.62407,             0.72107,             0.45604,            0.039298,            0.028523,            0.002031,             0.00934,             0.00934,             0.00934
                  22,            0.043751,            0.042419,            0.003387,              0.7852,             0.63196,             0.72315,             0.45876,            0.039207,            0.028463,           0.0020104,            0.009307,            0.009307,            0.009307
                  23,            0.043767,            0.042247,           0.0033837,             0.79407,             0.62501,             0.72358,             0.45919,            0.039141,            0.028442,           0.0019983,            0.009274,            0.009274,            0.009274
                  24,            0.043672,            0.042261,           0.0033691,             0.79012,             0.62774,              0.7235,              0.4607,             0.03906,            0.028398,           0.0019879,            0.009241,            0.009241,            0.009241
                  25,            0.043735,             0.04255,           0.0033904,             0.79197,             0.62967,             0.72404,             0.46095,            0.038984,            0.028376,           0.0019687,            0.009208,            0.009208,            0.009208
                  26,            0.043545,            0.042282,           0.0033457,             0.79488,             0.62752,             0.72476,              0.4625,            0.038947,            0.028339,           0.0019682,            0.009175,            0.009175,            0.009175
                  27,             0.04365,            0.042372,           0.0033607,              0.7929,             0.62972,             0.72639,             0.46289,            0.038914,            0.028331,           0.0019588,            0.009142,            0.009142,            0.009142
                  28,            0.043484,            0.042297,           0.0032764,             0.79789,             0.62828,             0.72704,             0.46349,            0.038876,            0.028321,           0.0019557,            0.009109,            0.009109,            0.009109
                  29,            0.043628,            0.042203,           0.0033741,             0.79257,             0.63296,             0.72792,             0.46434,            0.038834,            0.028296,             0.00195,            0.009076,            0.009076,            0.009076
                  30,            0.043525,            0.042369,           0.0033535,              0.8036,             0.62811,             0.72864,             0.46501,            0.038789,            0.028271,           0.0019443,            0.009043,            0.009043,            0.009043
                  31,            0.043385,            0.042056,            0.003286,             0.80316,              0.6301,             0.72833,             0.46535,            0.038755,            0.028259,           0.0019442,             0.00901,             0.00901,             0.00901
                  32,            0.043384,            0.042226,           0.0032957,             0.80111,             0.63058,             0.72882,             0.46588,            0.038737,            0.028243,           0.0019435,            0.008977,            0.008977,            0.008977
                  33,            0.043394,            0.042436,           0.0032948,             0.79661,             0.63315,             0.72942,             0.46623,            0.038718,            0.028237,           0.0019427,            0.008944,            0.008944,            0.008944
                  34,            0.043374,            0.042215,           0.0032743,             0.79767,             0.63318,             0.72977,             0.46599,              0.0387,            0.028228,           0.0019411,            0.008911,            0.008911,            0.008911
