                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0361,                0.87789,                 1.1269,                0.77461,                0.62386,                0.71372,                0.48559,                 1.0483,                0.81804,                 1.0957,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.1118,                0.91068,                 1.1714,                0.73265,                0.56252,                0.64447,                0.41637,                 1.1759,                0.98982,                 1.1855,              0.0066417,              0.0066417,              0.0066417
                      3,                 1.2504,                 1.1047,                   1.26,                0.66053,                0.47878,                0.53695,                 0.3288,                 1.3469,                 1.3057,                 1.3156,               0.009931,               0.009931,               0.009931
                      4,                 1.2993,                 1.1709,                 1.2989,                0.73857,                0.53741,                0.62772,                0.39818,                 1.2274,                 1.0259,                 1.2373,               0.009901,               0.009901,               0.009901
                      5,                 1.2463,                 1.0988,                 1.2673,                 0.7477,                 0.5691,                 0.6579,                0.42683,                 1.1646,                0.95784,                 1.1956,               0.009901,               0.009901,               0.009901
                      6,                 1.2144,                 1.0542,                 1.2464,                 0.7675,                0.58035,                0.67751,                0.44666,                 1.1305,                0.90385,                  1.168,               0.009868,               0.009868,               0.009868
                      7,                 1.1947,                  1.027,                 1.2346,                0.77396,                0.59452,                0.68979,                0.45846,                 1.1016,                0.87604,                 1.1529,               0.009835,               0.009835,               0.009835
                      8,                 1.1801,                 1.0086,                 1.2242,                0.76944,                0.60899,                0.70286,                0.47196,                 1.0738,                0.83971,                 1.1361,               0.009802,               0.009802,               0.009802
                      9,                 1.1684,                0.99349,                  1.216,                0.78398,                0.61074,                0.70875,                0.47973,                  1.061,                0.82388,                 1.1228,               0.009769,               0.009769,               0.009769
                     10,                 1.1612,                0.98015,                 1.2099,                0.78173,                0.61772,                0.71695,                0.48819,                 1.0483,                0.80885,                 1.1161,               0.009736,               0.009736,               0.009736
                     11,                 1.1527,                0.96948,                 1.2053,                0.78168,                0.62639,                0.72107,                0.49209,                 1.0399,                0.79948,                 1.1116,               0.009703,               0.009703,               0.009703
                     12,                 1.1453,                0.96616,                 1.2011,                0.78376,                0.62845,                0.72526,                0.49675,                 1.0336,                0.78959,                 1.1057,                0.00967,                0.00967,                0.00967
                     13,                 1.1421,                 0.9583,                 1.1991,                0.79309,                0.62513,                0.72837,                0.49821,                 1.0309,                0.78132,                 1.1058,               0.009637,               0.009637,               0.009637
                     14,                 1.1383,                0.95171,                 1.1958,                0.79266,                0.63033,                0.73175,                0.50073,                 1.0274,                0.77475,                 1.1045,               0.009604,               0.009604,               0.009604
                     15,                 1.1352,                0.95089,                 1.1952,                 0.7951,                0.63496,                0.73371,                0.50309,                 1.0236,                0.77051,                 1.1027,               0.009571,               0.009571,               0.009571
                     16,                 1.1296,                0.94195,                 1.1898,                0.79409,                0.63726,                0.73497,                 0.5047,                  1.019,                0.76597,                 1.0995,               0.009538,               0.009538,               0.009538
                     17,                 1.1277,                0.93824,                 1.1881,                0.79542,                0.64165,                0.73582,                0.50562,                 1.0177,                0.76401,                 1.0984,               0.009505,               0.009505,               0.009505
                     18,                 1.1262,                 0.9381,                 1.1886,                 0.7884,                0.64489,                0.73721,                0.50691,                  1.017,                0.76202,                 1.0978,               0.009472,               0.009472,               0.009472
                     19,                 1.1229,                0.93346,                 1.1877,                0.79149,                0.64164,                0.73784,                0.50773,                 1.0155,                0.76057,                 1.0969,               0.009439,               0.009439,               0.009439
