                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3064,                 7.4982,                 4.2384,                      0,                      0,                      0,                      0,                 5.4155,                 6.1566,                 4.1581,             0.00025005,             0.00025005,             0.00025005
                      2,                 3.8226,                 5.3829,                 3.8894,                      0,                      0,                      0,                      0,                 5.4398,                 5.1864,                 4.1825,             0.00051506,             0.00051506,             0.00051506
                      3,                 2.4099,                 3.4047,                 2.6717,                      0,                      0,                      0,                      0,                 5.4982,                  5.353,                 4.2407,             0.00077832,             0.00077832,             0.00077832
                      4,                  1.823,                 2.1776,                 1.9151,                      0,                      0,                      0,                      0,                 5.4256,                 5.1521,                 4.1748,              0.0010398,              0.0010398,              0.0010398
                      5,                 1.5534,                 1.6331,                 1.5609,                      0,                      0,                      0,                      0,                 5.0751,                 5.2114,                 3.9594,              0.0012995,              0.0012995,              0.0012995
                      6,                 1.4259,                 1.3988,                 1.4266,                0.53776,                0.05729,                0.02793,                0.00883,                 3.2401,                 4.2032,                 2.7029,              0.0015575,              0.0015575,              0.0015575
                      7,                 1.4256,                 1.2131,                  1.381,                0.63356,                0.42937,                0.39108,                 0.1266,                  2.838,                 2.8054,                 2.6592,               0.001634,               0.001634,               0.001634
                      8,                  1.303,                 1.0436,                 1.2903,                0.76247,                0.37013,                0.40918,                0.24164,                 2.5574,                 2.9838,                 4.1451,               0.001634,               0.001634,               0.001634
                      9,                 1.2598,                0.96455,                 1.2599,                0.75336,                0.48666,                0.49984,                0.31297,                  1.402,                 2.1583,                 1.5453,              0.0016285,              0.0016285,              0.0016285
                     10,                 1.1889,                0.85647,                  1.194,                 0.7285,                0.65245,                0.75839,                0.48475,                 1.3982,                 1.5713,                 1.5416,               0.001623,               0.001623,               0.001623
                     11,                 1.2131,                0.82166,                  1.217,                0.76153,                0.79671,                0.84921,                0.52691,                 1.6057,                  1.817,                 1.7033,              0.0016175,              0.0016175,              0.0016175
                     12,                 1.2223,                0.79464,                 1.1995,                0.90112,                0.79446,                0.92299,                0.64822,                  1.181,                0.95595,                 1.3604,               0.001612,               0.001612,               0.001612
                     13,                 1.1244,                0.73477,                 1.1481,                0.92953,                0.87462,                0.93718,                0.65739,                 1.3582,                0.91796,                 1.4984,              0.0016065,              0.0016065,              0.0016065
                     14,                 1.1143,                0.69875,                 1.1376,                0.85084,                0.78353,                0.83045,                0.53478,                 1.4695,                  1.129,                 1.5356,               0.001601,               0.001601,               0.001601
                     15,                 1.0958,                0.68081,                 1.1254,                0.73843,                0.58963,                0.64589,                0.34671,                 2.2638,                 5.4396,                 2.0489,              0.0015955,              0.0015955,              0.0015955
                     16,                 1.0935,                0.66048,                 1.1239,                0.78788,                0.86458,                0.90999,                0.62356,                 1.4165,                0.97235,                 1.5116,                0.00159,                0.00159,                0.00159
                     17,                 1.0484,                0.60864,                 1.1004,                0.88229,                0.87453,                0.94579,                0.66992,                 1.2003,                 0.8262,                 1.3335,              0.0015845,              0.0015845,              0.0015845
                     18,                 1.0433,                0.60176,                 1.0994,                0.87494,                 0.8611,                0.92628,                0.61795,                 1.3484,                0.80318,                 1.4311,               0.001579,               0.001579,               0.001579
                     19,                 1.0208,                0.58815,                 1.0851,                0.93305,                0.90028,                 0.9396,                0.54645,                 1.7264,                0.93541,                 1.6424,              0.0015735,              0.0015735,              0.0015735
                     20,                 1.0205,                0.60076,                 1.0909,                0.94292,                0.92543,                0.95395,                0.66807,                 1.1903,                0.75654,                 1.3139,               0.001568,               0.001568,               0.001568
                     21,                  1.017,                0.59465,                 1.0823,                0.90313,                0.92423,                0.96031,                0.69099,                 1.2328,                0.69313,                 1.3633,              0.0015625,              0.0015625,              0.0015625
